text_id,text,эймериоз,абсцесс,диспепсия молодняка,остертагиоз,мастит,инфекционный ринотрахеит,отёк вымени,тенденит,сибирская язва,лишай,другое
0,"Корова, видимо вставая, раздавила себе сосок. Разворотила всё в хлам, вместе с сосковым каналом. Доктор отказался что-либо делать, промыл и уехал. Если бы корова была в запуске сосок бы зарос да может и ладно бы (и трёхсисии нормально живут), но всё осложняется тем, что ей сегодня-завтра телиться и теперь из середины соска постоянно бежит молоко. Чё делать не знаю, хоть садись около неё и плачь. Может кто подскажет выход.",0,0,0,0,1,0,0,0,0,0,0
1,"Корове 8 лет! Месяц назад промеж четвертей вымени появились бугорки за пару дней они начали наполняться житкостью похожую на гной! Когда они лопаються появляется корка и долго не сходит! Я обратился к вет/врачу он мне сказал что укусы клищей, дал мазь тетрациклидную 1% ! Результат\ пока мазал прыщи непроходили и не разростались! Тоесть в одной поре! Как мазь закончелась стало ещё хуже за два дня на местах где были прыщи появились гнойные язвы! теперь незнаю что делать,как лечить и как это балачка называеться! Помогите, может у кого было такое?",0,0,0,0,0,0,0,0,1,1,1
2,"Молоко течёт само у коровы. Что делать, если у коровы слабые соски и молоко бежит из них само.
Молоко течёт само у коровы. Помогите советом. Купили корову, было 2 отёла. Третий должен быть в феврале. Ещё доится. Утром и вечером по 2–3 литра. Иногда вижу лужицы на месте, где полежит. Когда доишь, молоко порой само бежит из соска, который не трогаешь. Понятно, что соски слабые.
Бывшая хозяйка говорила, что, когда с поля возвращается, молоко немного вытекает. Но это летом, с полным выменем, на сочных кормах. Сейчас не такой случай. В интернете везде написано — применить коллодий. Но его уже не выпускают лет 15!!! Может, знает кто другие недорогие средства. Находила импортные барьерные средства — цена 5000 рублей, это дорого. Массаж делаю.",0,0,0,0,1,0,1,0,0,0,0
3,"У нетели болячки на вымени.
Здравствуйте. Нетель на позднем сроке. Обнаружила, что все вымя покрылось маленькими болячками. Вымя массирую - стоит смирно. На фото - коричневые точки. Что это? Помогите, пожалуйста.",0,0,0,0,0,0,0,0,1,1,1
4,"У меня первотелка, на днях отёл, у неё левый передний сосок как будто пустой, остальные три набухли и доли тоже, подскажите что делать, или не стоит волноваться до отела?",0,0,0,0,1,0,0,0,0,0,0
5,"Чем пропоить телёнка от поноса?
Подскажите пожалуйста, тёлочке 2 недели, отпаивается молоком коровье + козье. По 2 литра за раз, 3 раза в день. У неё слабый понос, ходит жидковато, но не часто. Чем пропоить телёнка от поноса?",0,0,1,0,0,0,0,0,0,0,0
6,"У лейкозной коровы язвочки на сосках, что это?
Корова находится в стаде в летнем лагере с другими лейкозными коровами... Как лечить? Прижечь можно йодом 5 % и асд-3 наружное применение, а ещё...?",0,0,0,0,0,0,0,0,1,1,1
7,"Здравствуйте у меня проблема. Бык-1,2 года внезапно начал трястись изредка покашливает. Плохо стал есть и пить. Ел пил тоже что и остальные. Что может с ним быть? И чем лечить?",0,0,0,0,0,1,0,0,0,0,1
8,"Прошу совета в лечении язвочек на вымени у коровы. Появились несколько дней назад.
 Как лечить?",0,0,0,0,0,0,0,0,1,1,1
9,"Можно ли смешать сыворотку от паратифа с антибиотиком стрептомицином, два в одном, и проколоть телёнка?",0,0,0,0,0,1,0,0,0,0,1
10,"Месячный телёнок вчера вечером не до конца выпил молоко, а утром вообще отказался пить. Что может быть?",0,0,1,0,0,1,0,0,0,0,1
11,"Форумчане, заболела корова.
 Симптомы. После отела, отел был месяц назад, корова стала худеть. с неделю назад стало очень худой и вялой, сильно убавила удой, с 5 дней удой только вечером. Через 3 недели после отела, стала меньше есть сено, в последствии вообще не ела. Серку не жует.
 Внешний вид: бока впалые, внешне выражена худоба.
 Предпринимали меры лечения. Кормили соленой капустой, напоили самогоном.
 После этого корова немного стала есть корм, но удой был мал но только 1 раз вечером. Ведет себя вяло. Серку почти не жует. Появился понос, цвета обычного навоза. По наблюдению в одму минуты делает 1-2 глотка, как бы с отрыжкой или пытается сделать.(может так оно и должно быть)
 Помогите, что можно сделать.",1,0,0,0,0,0,0,0,0,0,1
12,"Здравствуйте! Помогите пожалуйста! Два дня назад купила кобылу, хозяин сказал шо недавно родила жеребенка, и волк съел его. Проблема в том что теперь у нее пошел отёк по брюху, на ощупь твёрдый, не горячий, у нее вроде температуры нету. Как мне помочь животине? Или это должно пройти само?",0,0,0,0,0,0,0,0,1,0,1
13,"Телёнку один год, уже месяца два плохо ест, пьёт, сегодня увидела кал с кровью, что с ним?",1,0,0,0,0,0,0,0,0,0,1
14,"Неделю назад купили 3 телят в колхозе,всё дружно поносили я их попоила отваром сенным,всё стабилизировалось,но 2 дня назад стали кашлять все,у одного носик забит сопельками,у другого температура...Скажите пожалуйста что им можно дать из лекарств?? Вет.врач у нас не ахти...",0,0,0,0,0,1,0,0,0,0,1
15,"Как остановить понос у двухнедельного телёнка.
Подскажите пожалуйста, как остановить у 2-х недельного телёнка понос? Колола Диспаркол на 2–3 дня прекратился, потом опять начался.",1,0,1,1,0,0,0,0,0,0,0
16,"У моей коровы послеродовой парез, как можно сделать продувание?",0,0,0,0,0,0,0,1,0,0,1
17,"День добрый,Подскажите пожалуйста
Вчера укол нитокса сделал теленку (4 месяца примерно),сегодня у него очень сильно опухла это место..подозреваю,что чуть ниже попал..что делать с отёком?(",0,1,0,0,0,0,0,0,0,0,0
18,Корова поносит и худеет апитит вроде средний жвачка есть в чем может быть дело,1,0,1,1,0,0,0,0,0,0,0
19,"Корова не может наступить на заднюю ногу, как её лечить?
Есть тут знающие люди, что может быть с коровой, сначала хромала на заднюю ногу, а сейчас вообще не наступает, хвост приподнят дугой. Копыто проверяла — чистое, похудела, может заболевание какое-то.",0,0,0,0,0,0,0,1,0,0,1
20,"Здравствуйте, кто знает, что за болезнь, когда у коров в дойках шишки? Подскажите как можно вылечить. Заранее всем спасибо!",0,1,0,0,0,0,0,0,0,0,1
21,"Послеродовый отёк вымени
Как способствовать устранению небольшого отёка вымени после отёла?",0,0,0,0,0,0,1,0,0,0,0
22,Корова после охоты чем то отравилась. думаю сеном плохим. был понос зеленый. нос сухой. отрыжки небыло. жвачки не было. стояла нечего не ела.как в тумане.молоко упала с 14 до 5 л.кто что подскажет.швиц первотелка,1,0,1,1,0,0,0,0,0,0,1
23,У теленка сильна опухла нога. Не знаем что делать. Может кто-то знает что сним такое?,0,1,0,0,0,0,0,0,0,0,1
24,"У телят подкожные шишки (как будто покусали пчёлы).
Подскажите пожалуйста, у телят подкожные шишки (как будто покусали пчёлы), от еды отказываются, пьют. Состояние вялое, температура. Что за болезнь и чем лечить?",0,0,0,0,0,0,0,0,0,1,1
25,"Отек вымени у коровы
Отек вымени чаще всего возникает у коров-первотелок непосредственно перед отелом или сразу после него.
Основной причиной возникновения отёка вымени у коров является неправильное кормление нетели и стельной сухостойной коровы. Признаками заболевания являются увеличение вымени в объеме, уплотнение кожи. Нередко опухоль распространяется и на брюхо коровы.

Лечение отёка вымени у коров заключается в частом выдаивании вымени (5—6 раз в день), легком массаже, смазывании его вазелином или камфорным маслом. До полного рассасывания опухоли надо исключить из рациона концентраты.
Подробнее Отёк вымени у коровы",0,0,0,0,0,0,1,0,0,0,0
26,"Лысые участки на ногах 1.5 месяца телятам, подскажите пожалуйста какие добавки или витамины давать?
Телята содержиться в телятнике 1.5 месяца по 6 голов, с утра до вечера в летнем лагере(моцион) толька в хорошую погоду.
Может такой эффект от антибиотиков?",0,0,0,0,0,0,0,0,1,1,1
